event.id,timestamp,location.long,location.lat,behavioural.classification,ground.speed,heading,height.raw,manually.marked.outlier,http...vocabulary.movebank.org.extended.raptor.workshop.attributes.behaviour,http...vocabulary.movebank.org.extended.raptor.workshop.attributes.deployment.special.event,http...vocabulary.movebank.org.extended.raptor.workshop.attributes.migration.state,visible,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,utm.easting,utm.northing,utm.zone,study.timezone,study.local.timestamp,ncep.noaa.gov.reanalysis.2.6hr.flx.u.component_of_wind_height_above_ground,ncep.noaa.gov.reanalysis.2.6hr.flx.v.component_of_wind_height_above_ground,ncep.noaa.gov.reanalysis.2.6hr.flx.Temperature_height_above_ground,ncep.noaa.gov.reanalysis.2.6hr.flx.Specific_humidity_height_above_ground,modis.land.MOD13A2.005.1.km.16.days.NDVI,ecmwf2.interim_daily.sfc.10.metre.U.wind.component,ecmwf2.interim_daily.sfc.10.metre.V.wind.component,ecmwf2.interim_daily.sfc.2.metre.temperature,ecmwf2.interim_daily.sfc.Thermal.uplift,validdata,timestamp2,computedSpeed,stepLength,timeInterval,TRMM_3B42.007.IRprecipitation
18447693,20:02.0,-107.2466,52.3406,NA,2,40,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346952.9,5801297.7,13N,Pacific Standard Time,20:02.0,2.43E-01,1.31E+00,283.2074,0.004712637,0.386630013,1.49E+00,1.12E+00,282.27,8.98E-01,TRUE,5/23/2009 2:20,0.00E+00,0.00E+00,0.00E+00,-1.00E+04
18447734,01:14.0,-107.2472,52.3402,NA,0,178,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346910.6,5801254.5,13N,Pacific Standard Time,01:14.0,2.97E-01,1.73E+00,282.4161,0.004653143,0.390460404,1.34E+00,1.38E+00,281.1787,7.30E-01,TRUE,5/23/2009 3:01,8.79E-02,6.03E-02,6.87E-01,-1.00E+04
18447735,00:59.0,-107.247,52.3403,NA,0,4,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346924.6,5801265.2,13N,Pacific Standard Time,00:59.0,5.37E-01,3.57E+00,278.9736,0.004396212,0.390536045,7.02E-01,2.48E+00,276.4406,0.00E+00,TRUE,5/23/2009 6:00,5.86E-03,1.76E-02,3.00E+00,-1.00E+04
18447736,00:42.0,-107.2472,52.3403,NA,0,10,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346910.9,5801265.6,13N,Pacific Standard Time,00:42.0,1.39E+00,3.75E+00,277.542,0.004307326,0.391231075,1.02E+00,2.30E+00,275.7603,0.00E+00,TRUE,5/23/2009 9:00,4.54E-03,1.36E-02,3.00E+00,-1.00E+04
18447737,00:58.0,-107.2472,52.3401,NA,0,236,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346910.3,5801243.4,13N,Pacific Standard Time,00:58.0,2.23E+00,3.93E+00,276.1443,0.004223564,0.39448597,1.34E+00,2.12E+00,275.1228,6.43E-03,TRUE,5/23/2009 12:00,7.40E-03,2.22E-02,3.00E+00,-1.00E+04
18447738,01:00.0,-107.247,52.3405,NA,0,354,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346925.3,5801287.5,13N,Pacific Standard Time,01:00.0,9.73E-01,3.74E+00,281.8497,0.00513198,0.391219246,1.70E+00,1.50E+00,282.8042,1.20E+00,TRUE,5/23/2009 15:01,1.55E-02,4.65E-02,3.00E+00,-1.00E+04
18447739,00:48.0,-107.2471,52.3402,NA,0,328,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346917.4,5801254.3,13N,Pacific Standard Time,00:48.0,-2.80E-01,3.54E+00,287.5325,0.006033762,0.395363531,2.06E+00,8.79E-01,290.4475,2.39E+00,TRUE,5/23/2009 18:00,1.14E-02,3.40E-02,3.00E+00,-1.00E+04
18447740,01:44.0,-107.247,52.3403,NA,0,56,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346924.6,5801265.2,13N,Pacific Standard Time,01:44.0,-1.62E+00,2.28E+00,289.8481,0.005723007,0.395317498,1.27E+00,7.46E-01,291.8485,1.72E+00,TRUE,5/23/2009 21:01,4.32E-03,1.30E-02,3.02E+00,-1.00E+04
18447741,00:42.0,-107.2968,52.3381,NA,10,230,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,343524.7,5801127.1,13N,Pacific Standard Time,00:42.0,-2.99E+00,1.06E+00,292.1521,0.005415267,0.304193168,4.71E-01,6.37E-01,293.203,1.06E+00,TRUE,5/24/2009 0:00,1.14E+00,3.39E+00,2.98E+00,-1.00E+04
18447742,00:44.0,-107.2615,52.3546,NA,0,336,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,345986.6,5802886.3,13N,Pacific Standard Time,00:44.0,-3.28E+00,1.68E+00,288.3631,0.006007646,0.395199562,-1.04E+00,1.35E+00,288.0922,5.29E-01,TRUE,5/24/2009 3:00,1.01E+00,3.02E+00,3.00E+00,-1.00E+04
18447743,00:50.0,-107.2607,52.3545,NA,0,340,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346040.7,5802873.4,13N,Pacific Standard Time,00:50.0,-3.61E+00,2.31E+00,284.6125,0.006594178,0.395594258,-2.56E+00,2.07E+00,283.0006,0.00E+00,TRUE,5/24/2009 6:00,1.85E-02,5.55E-02,3.00E+00,-1.00E+04
18447744,00:46.0,-107.2607,52.3544,NA,0,148,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346040.4,5802862.3,13N,Pacific Standard Time,00:46.0,-3.31E+00,2.43E+00,283.241,0.006609967,0.396662574,-2.06E+00,2.16E+00,282.3373,0.00E+00,TRUE,5/24/2009 9:00,3.71E-03,1.11E-02,3.00E+00,-1.00E+04
18447745,00:46.0,-107.2471,52.3402,NA,0,200,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346917.4,5801254.3,13N,Pacific Standard Time,00:46.0,-3.03E+00,2.55E+00,281.8894,0.006628123,0.401098144,-1.58E+00,2.25E+00,281.7033,4.47E-03,TRUE,5/24/2009 12:00,6.10E-01,1.83E+00,3.00E+00,-1.00E+04
18447746,00:48.0,-107.2471,52.3403,NA,0,132,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346917.8,5801265.4,13N,Pacific Standard Time,00:48.0,-3.98E+00,3.34E+00,286.4016,0.007809978,0.400920278,-2.21E+00,1.96E+00,286.9423,1.06E+00,TRUE,5/24/2009 15:00,3.71E-03,1.11E-02,3.00E+00,-1.00E+04
18447747,00:54.0,-107.247,52.3403,NA,0,30,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,346924.6,5801265.2,13N,Pacific Standard Time,00:54.0,-3.58E+00,2.31E+00,291.4668,0.0105691,0.402957028,-2.75E+00,1.96E+00,291.9167,1.09E+00,TRUE,5/24/2009 21:00,1.13E-03,6.79E-03,6.00E+00,-1.00E+04
18447748,00:42.0,-107.2373,52.3519,NA,0,340,  NA,,NA,NA,BreedingGrounds,TRUE,gps,Cathartes aura,85754,Steamhouse 2,Turkey Vulture Acopian Center USA GPS,347625.2,5802534.8,13N,Pacific Standard Time,00:42.0,-2.25E+00,5.30E-01,292.0106,0.012143258,0.376315972,-2.68E+00,2.25E+00,291.667,9.32E-02,TRUE,5/25/2009 0:00,4.83E-01,1.45E+00,3.00E+00,-1.00E+04
